,precip
1917-04-06,0.0
1917-04-07,0.0
1917-04-08,0.0
1917-04-09,1.04999995232
1917-04-10,1.07500004768
1917-04-11,0.0
1917-04-12,0.0
1917-04-13,0.0
1917-04-14,0.0
1917-04-15,0.324999988079
1917-04-16,8.52499961853
1917-04-17,0.725000023842
1917-04-18,0.15000000596
1917-04-19,0.0
1917-04-20,0.0
1917-04-21,0.0
1917-04-22,0.0750000029802
1917-04-23,0.0
1917-04-24,0.0
1917-04-25,0.0
1917-04-26,0.725000023842
1917-04-27,7.05000019073
1917-04-28,5.75
1917-04-29,0.625
1917-04-30,0.0
1917-05-01,0.0
1917-05-02,3.09999990463
1917-05-03,0.0
1917-05-04,0.0
1917-05-05,0.0
1917-05-06,5.94999980927
1917-05-07,5.5
1917-05-08,0.725000023842
1917-05-09,0.0250000003725
1917-05-10,0.0
1917-05-11,5.90000009537
1917-05-12,0.850000023842
1917-05-13,0.0
1917-05-14,0.0
1917-05-15,0.0
1917-05-16,0.0
1917-05-17,0.0
1917-05-18,4.17500019073
1917-05-19,10.25
1917-05-20,0.675000011921
1917-05-21,0.0
1917-05-22,6.5
1917-05-23,8.42500019073
1917-05-24,1.77499997616
1917-05-25,5.80000019073
1917-05-26,4.30000019073
1917-05-27,7.25
1917-05-28,0.17499999702
1917-05-29,4.52500009537
1917-05-30,0.550000011921
1917-05-31,0.0250000003725
1917-06-01,0.0
1917-06-02,0.0
1917-06-03,0.0
1917-06-04,0.0
1917-06-05,0.0
1917-06-06,1.10000002384
1917-06-07,0.0
1917-06-08,0.0
1917-06-09,0.0
1917-06-10,1.5
1917-06-11,0.0
1917-06-12,0.0
1917-06-13,0.0
1917-06-14,0.0
1917-06-15,0.0
1917-06-16,0.0
1917-06-17,0.0
1917-06-18,0.0
1917-06-19,0.0
1917-06-20,0.0
1917-06-21,0.0
1917-06-22,0.0
1917-06-23,0.0
1917-06-24,0.0
1917-06-25,0.0
1917-06-26,0.0
1917-06-27,0.0
1917-06-28,0.0
1917-06-29,0.0
1917-06-30,0.0
1917-07-01,0.0
1917-07-02,0.0
1917-07-03,0.0
1917-07-04,0.0
1917-07-05,0.0
1917-07-06,0.125
1917-07-07,0.0
1917-07-08,0.0
1917-07-09,0.0
1917-07-10,0.0
1917-07-11,0.0
1917-07-12,0.0
1917-07-13,0.0
1917-07-14,0.0
1917-07-15,0.0
1917-07-16,0.850000023842
1917-07-17,0.0
1917-07-18,3.45000004768
1917-07-19,0.0
1917-07-20,0.0
1917-07-21,0.0
1917-07-22,1.22500002384
1917-07-23,1.125
1917-07-24,0.0
1917-07-25,0.0
1917-07-26,1.10000002384
1917-07-27,2.32500004768
1917-07-28,0.425000011921
1917-07-29,0.15000000596
1917-07-30,0.0
1917-07-31,0.0
1917-08-01,0.0
1917-08-02,0.0
1917-08-03,4.94999980927
1917-08-04,6.375
1917-08-05,0.0
1917-08-06,0.0
1917-08-07,0.0
1917-08-08,0.0
1917-08-09,0.0
1917-08-10,0.0
1917-08-11,0.0
1917-08-12,0.0
1917-08-13,0.0
1917-08-14,0.0
1917-08-15,5.82499980927
1917-08-16,0.0500000007451
1917-08-17,0.0250000003725
1917-08-18,0.0
1917-08-19,0.0
1917-08-20,0.0
1917-08-21,0.0
1917-08-22,0.0
1917-08-23,0.0
1917-08-24,0.0
1917-08-25,0.0
1917-08-26,0.0
1917-08-27,0.0
1917-08-28,0.0
1917-08-29,0.0
1917-08-30,0.0
1917-08-31,0.0
1917-09-01,0.0
1917-09-02,0.0
1917-09-03,0.0
1917-09-04,0.0250000003725
1917-09-05,0.17499999702
1917-09-06,0.824999988079
1917-09-07,0.0250000003725
1917-09-08,0.0
1917-09-09,0.0
1917-09-10,0.0250000003725
1917-09-11,0.0250000003725
1917-09-12,0.0
1917-09-13,0.0
1917-09-14,0.0
1917-09-15,0.0
1917-09-16,0.0
1917-09-17,0.0
1917-09-18,0.0
1917-09-19,0.0
1917-09-20,0.0
1917-09-21,1.5
1917-09-22,3.82500004768
1917-09-23,0.774999976158
1917-09-24,0.0
1917-09-25,0.0
1917-09-26,0.0
1917-09-27,0.0
1917-09-28,0.0
1917-09-29,0.0
1917-09-30,0.17499999702
1917-10-01,0.10000000149
1917-10-02,0.0
1917-10-03,0.0
1917-10-04,0.0
1917-10-05,0.0
1917-10-06,0.0
1917-10-07,0.0
1917-10-08,0.0
1917-10-09,0.0
1917-10-10,0.0
1917-10-11,0.0
1917-10-12,0.0
1917-10-13,0.0
1917-10-14,0.0
1917-10-15,0.0
1917-10-16,0.0
1917-10-17,0.0
1917-10-18,0.0
1917-10-19,0.0
1917-10-20,0.0
1917-10-21,0.0
1917-10-22,0.0
1917-10-23,0.0
1917-10-24,0.0
1917-10-25,0.0
1917-10-26,0.0
1917-10-27,0.0
1917-10-28,0.0
1917-10-29,0.0
1917-10-30,0.0
1917-10-31,0.0
1917-11-01,0.0
1917-11-02,0.0
1917-11-03,0.0
1917-11-04,0.0
1917-11-05,0.0
1917-11-06,2.97499990463
1917-11-07,0.0
1917-11-08,0.47499999404
1917-11-09,0.0
1917-11-10,0.0
1917-11-11,0.0
1917-11-12,4.375
1917-11-13,2.17499995232
1917-11-14,2.75
1917-11-15,0.0
1917-11-16,0.0
1917-11-17,0.0
1917-11-18,0.0
1917-11-19,0.0
1917-11-20,0.0
1917-11-21,0.0
1917-11-22,0.0
1917-11-23,0.0750000029802
1917-11-24,1.89999997616
1917-11-25,0.975000023842
1917-11-26,0.0
1917-11-27,0.0
1917-11-28,0.0500000007451
1917-11-29,0.0
1917-11-30,0.0
1917-12-01,0.0
1917-12-02,0.0
1917-12-03,0.375
1917-12-04,0.0
1917-12-05,0.0
1917-12-06,0.0750000029802
1917-12-07,0.0
1917-12-08,0.0
1917-12-09,0.0
1917-12-10,0.0
1917-12-11,0.0
1917-12-12,0.0
1917-12-13,0.0
1917-12-14,0.0
1917-12-15,0.0
1917-12-16,0.0
1917-12-17,0.0
1917-12-18,0.0
1917-12-19,0.0
1917-12-20,0.0
1917-12-21,0.0
1917-12-22,0.0
1917-12-23,0.0
1917-12-24,0.0
1917-12-25,0.0
1917-12-26,0.0
1917-12-27,0.0
1917-12-28,0.0
1917-12-29,0.0
1917-12-30,0.0
1917-12-31,0.0
1918-01-01,0.0
1918-01-02,0.0
1918-01-03,0.0
1918-01-04,0.0
1918-01-05,0.0
1918-01-06,0.0
1918-01-07,1.72500002384
1918-01-08,0.949999988079
1918-01-09,0.774999976158
1918-01-10,1.625
1918-01-11,4.32499980927
1918-01-12,5.15000009537
1918-01-13,0.5
1918-01-14,10.0249996185
1918-01-15,0.0
1918-01-16,0.5
1918-01-17,0.0
1918-01-18,0.425000011921
1918-01-19,0.550000011921
1918-01-20,0.0
1918-01-21,0.0
1918-01-22,0.0
1918-01-23,0.0
1918-01-24,0.0
1918-01-25,4.27500009537
1918-01-26,1.42499995232
1918-01-27,0.0
1918-01-28,0.0
1918-01-29,0.22499999404
1918-01-30,0.0
